# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
duo chang 	多長	c=13 d=0.00326335 t=299031
duo chang shi jian 	多長時間	c=26 d=0.00351752 t=299031
duo chi 	多喫	c=2 d=1 t=156138
duo chu 	多出	c=3 d=1 t=266840
duo chu lai 	多出來	c=1 d=1 t=106020
duo chuan 	多穿	c=1 d=0.1 t=260673
duo chuan dian er 	多穿點兒	c=1 d=1 t=260674
duo ci 	多次	c=6 d=1.7827 t=291552
duo ci wu ren jie ting 	多次無人接聽	c=1 d=1 t=39622
duo ci yi ju 	多此一舉	c=1 d=1 t=59114
duo cu 	多粗	c=1 d=1 t=217925
duo da 	多大	c=10 d=1 t=243872
duo da le 	多大了	c=1 d=1 t=3248
duo du 	多度	c=1 d=1 t=292855
duo duan 	多端	c=2 d=1 t=242741
duo duo 	多多	c=0 d=0.1 t=13401
duo duo 	朵朵	c=2 d=1 t=125257
duo duo jie chu 	多多接觸	c=1 d=1 t=13402
duo fan wei 	多範圍	c=1 d=1 t=255225
duo gao 	多高	c=2 d=1 t=217924
duo ge 	多個	c=60 d=1 t=297298
duo ge shi 	多格式	c=1 d=1 t=229035
duo ge zhi 	多個值	c=1 d=1 t=113402
duo gong neng 	多功能	c=3 d=1.25032 t=197509
duo guan 	多管	c=1 d=1 t=157648
duo guang biao 	多光標	c=1 d=1 t=48234
duo hang 	多行	c=1 d=1 t=112756
duo hang zhu shi 	多行註釋	c=1 d=1 t=47836
duo he 	多喝	c=1 d=1 t=291204
duo hou 	多厚	c=1 d=1 t=192396
duo hua 	多花	c=0 d=0.1 t=129461
duo hua qian 	多花簽	c=1 d=1 t=129462
duo ji 	多級	c=5 d=1 t=287540
duo jia 	多家	c=1 d=1 t=167463
duo jie dian 	多節點	c=1 d=1 t=225389
duo jie duan 	多階段	c=1 d=1 t=262098
duo jiu 	多久	c=14 d=1 t=292866
duo kai 	多開	c=1 d=1 t=105173
duo ke xi 	多可惜	c=1 d=1 t=239190
duo kuan 	多寬	c=1 d=1 t=212485
duo kui 	多虧	c=1 d=1 t=80747
duo lao er 	多老二	c=1 d=1 t=14190
duo le 	多了	c=9 d=1 t=289788
duo li 	多例	c=2 d=1.95123 t=249877
duo lin guo 	多鄰國	c=4 d=2.99423 t=232656
duo lu 	多路	c=0 d=0.1 t=247878
duo lu fu yong 	多路復用	c=1 d=1 t=247879
duo mai 	多買	c=2 d=1 t=298702
duo mai dian 	多買點	c=1 d=1 t=168417
duo me 	多麼	c=1 d=1 t=247844
duo mo kuai 	多模塊	c=2 d=1.16122 t=247396
duo ping tai 	多平臺	c=1 d=1 t=249339
duo ru kou 	多入口	c=1 d=1 t=110724
duo shan 	躲閃	c=2 d=1 t=287923
duo shan chu 	多刪除	c=1 d=1 t=275929
duo shang 	多上	c=3 d=1 t=225701
duo shang shi jian 	多上時間	c=3 d=1 t=289134
duo shao 	多少	c=134 d=1.15261 t=299031
duo shao ci 	多少次	c=0 d=0.1 t=120383
duo shao de 	多少的	c=1 d=1 t=55909
duo shao fen 	多少分	c=2 d=1 t=262448
duo shao jin 	多少斤	c=2 d=1 t=238516
duo shao kuai 	多少塊	c=1 d=1 t=215274
duo shao miao 	多少秒	c=2 d=1 t=117793
duo shao nian 	多少年	c=1 d=1 t=112966
duo shao qian 	多少錢	c=33 d=0.0222592 t=299031
duo shao ren 	多少人	c=1 d=1 t=292953
duo shao shi jian 	多少時間	c=1 d=1 t=259604
duo shao zhao 	多少兆	c=1 d=1 t=275774
duo sheng shi jian 	多省時間	c=1 d=1 t=200545
duo shi yong 	多使用	c=1 d=1 t=247713
duo shui 	多睡	c=1 d=1 t=274993
duo shuo 	多說	c=1 d=1 t=296726
duo suo 	哆嗦	c=2 d=0.1 t=162490
duo tai 	多態	c=3 d=2.20221 t=57976
duo tai 	多臺	c=1 d=1 t=249249
duo tai xing 	多态性	c=1 d=1 t=57898
duo xia xi 	多罅隙	c=1 d=1 t=199907
duo xian cheng 	多線程	c=2 d=1 t=244975
duo xiang 	多項	c=1 d=1 t=115806
duo xiao shi 	多小時	c=0 d=0.1 t=232193
duo xie 	多謝	c=46 d=1 t=284251
duo xie duo xie 	多謝多謝	c=3 d=1 t=168510
duo xie le 	多謝了	c=1 d=1 t=294879
duo xing 	惰性	c=1 d=1 t=250772
duo xiu xi 	多休息	c=2 d=1 t=199909
duo xuan 	多選	c=48 d=1 t=294878
duo xuan kuang 	多選框	c=2 d=1 t=279020
duo xuan ren yuan 	多選人員	c=1 d=1 t=200180
duo xuan she bei 	多選設備	c=1 d=1 t=184503
duo yao 	多要	c=1 d=1 t=4384
duo yi xie 	多一些	c=2 d=1 t=295800
duo yu 	多餘	c=29 d=0.0678809 t=299031
duo yue 	多月	c=4 d=0.1 t=241089
duo yun 	多雲	c=0 d=0.1 t=121924
duo yun dong 	多雲東	c=1 d=1 t=121925
duo zhi 	多值	c=1 d=1 t=59853
duo zhong 	多種	c=1 d=1 t=279783
duo zhu yi 	多注意	c=2 d=1 t=198473
e 	額	c=7 d=1 t=292317
e 	餓	c=14 d=1 t=266593
e ding 	額定	c=0 d=0.1 t=207659
e ding dian liu 	額定電流	c=1 d=1 t=207660
e du 	額度	c=3 d=1 t=151331
e e 	餓餓	c=5 d=0.1 t=249478
e gao 	惡搞	c=5 d=1.61377 t=242416
e gao zhi jia 	惡搞之家	c=2 d=1.85642 t=242220
e le 	餓了	c=3 d=1 t=293354
e le me 	餓了麼	c=7 d=2.82971 t=264166
e luo si 	俄羅斯	c=4 d=1 t=156826
e luo si fang kuai 	俄羅斯方塊	c=1 d=1 t=25592
e meng 	蛾蠓	c=2 d=1 t=298911
e nuo 	婀娜	c=3 d=1 t=184112
e wai 	額外	c=17 d=1.98022 t=293875
e wu 	俄烏	c=1 d=1 t=173816
e xin 	噁心	c=41 d=1.20398 t=290849
e yi 	惡意	c=4 d=2.33569 t=249161
eh 	誒	c=10 d=1.00207 t=277571
eh ji 	誒及	c=1 d=1 t=114366
eh kan 	誒看	c=1 d=1 t=236751
eh le 	誒了	c=2 d=1 t=236568
eh wo 	誒我	c=3 d=1 t=232809
ei 	誒	c=2 d=1 t=257546
en 	嗯	c=3 d=1.84789 t=185063
en 	恩	c=1017 d=0.34734 t=299031
en ai 	恩愛	c=1 d=1 t=164079
en de 	恩德	c=1 d=1 t=253176
en en 	嗯嗯	c=1038 d=1.94618 t=299031
en en en 	嗯嗯恩	c=1 d=1 t=240686
en gao 	恩膏	c=1 d=1 t=111238
en me 	恩麼	c=2 d=1 t=255622
en na 	恩納	c=1 d=1 t=15281
en ne 	恩呢	c=59 d=1.02916 t=295235
en ti 	恩提	c=1 d=1 t=52275
eng 	嗯	c=6 d=1 t=216564
eng en 	嗯恩	c=9 d=1 t=219337
eng le 	嗯了	c=1 d=1 t=76113
eng shi 	嗯是	c=1 d=1 t=143065
er 	二	c=48 d=1 t=284447
er 	兒	c=391 d=1.02667 t=299031
er 	爾	c=1 d=1 t=241912
er 	而	c=67 d=0.585447 t=299031
er bei 	二倍	c=1 d=1 t=224642
er bian 	二遍	c=1 d=1 t=193084
er bian 	而變	c=1 d=1 t=184299
er bu 	二部	c=0 d=0.1 t=58760
er bu fen 	二部分	c=1 d=1 t=58761
er bu shi 	而不是	c=2 d=1 t=261281
er ceng 	二層	c=1 d=1 t=289390
er cha shu 	二叉樹	c=5 d=1 t=296450
er ci 	二次	c=10 d=1 t=222924
er ci kai fa 	二次開發	c=1 d=1 t=128549
er ci yuan 	二次元	c=1 d=1 t=126034
er dong 	耳洞	c=1 d=1 t=298861
er du 	二度	c=1 d=1 t=87326
er duan 	二段	c=1 d=1 t=51653
er duo 	耳朵	c=2 d=1 t=51654
er fei 	而非	c=1 d=1 t=275244
er ge 	二哥	c=3 d=1 t=137848
er gui zi 	二鬼子	c=1 d=1 t=118628
er hao 	二號	c=1 d=1 t=18257
er ji 	二級	c=21 d=1 t=295140
er ji 	耳機	c=10 d=1 t=295141
er ji cai dan 	二級菜單	c=1 d=1 t=20939
er ji dian 	耳機電	c=1 d=1 t=276865
er ji he 	耳機盒	c=3 d=1 t=228462
er ji ye mian 	二級頁面	c=3 d=2.56397 t=253125
er ji yu ming 	二級域名	c=1 d=1 t=216614
er jia 	二價	c=1 d=1 t=110362
er jie duan 	二階段	c=1 d=1 t=117396
er jin zhi 	二進制	c=19 d=1 t=282382
er lai 	而來	c=2 d=1 t=286446
er mian 	二面	c=3 d=1 t=258901
er nu li 	而努力	c=1 d=1 t=80706
er pan 	耳畔	c=0 d=0.1 t=28801
er pin 	二品	c=0 d=0.1 t=138615
er qi 	二期	c=36 d=1.98511 t=227104
er qian 	二千	c=1 d=1 t=254493
er qie 	而且	c=35 d=0.290835 t=299031
er ren 	二人	c=2 d=1.98511 t=178657
er shi 	二十	c=2 d=0.1 t=277178
er shi 	而是	c=7 d=1.99501 t=258086
er shi da 	二十大	c=2 d=1 t=170174
er shi er 	二十二	c=0 d=0.1 t=58659
er shi fen 	二十分	c=1 d=1 t=277179
er shi qi 	二十七	c=3 d=1 t=220344
er shou 	二手	c=8 d=3.72805 t=294516
er shou che 	二手車	c=2 d=1.99501 t=156248
er shou fang 	二手房	c=3 d=2.97032 t=257726
er wa 	耳挖	c=0 d=0.1 t=111131
er wa ma 	耳挖嗎	c=2 d=1.21225 t=111442
er wei ma 	二維碼	c=184 d=1.93708 t=246495
er wo 	而我	c=1 d=1 t=107095
er xi fu 	兒媳婦	c=1 d=1 t=185319
er xian 	二線	c=1 d=1 t=214106
er yan 	而言	c=1 d=1 t=288240
er yi 	二姨	c=4 d=0.1 t=253802
er yi fu 	二姨父	c=1 d=1 t=99191
er yin qi de 	而引起的	c=1 d=1 t=90348
er you 	而又	c=1 d=1 t=294497
er zhou 	二周	c=1 d=1 t=45525
er zi 	兒子	c=2 d=1.00007 t=170044
fa 	法	c=18 d=0.280832 t=299031
fa 	發	c=491 d=0.0982374 t=299031
fa 	罰	c=1 d=1 t=228295
fa ban 	發版	c=7 d=1 t=247071
fa bao 	法寶	c=1 d=1 t=175381
fa biao 	發表	c=2 d=1 t=251459
fa bu 	發佈	c=57 d=1 t=296085
fa bu chu 	發不出	c=1 d=1 t=140543
fa bu chu lai 	發佈出來	c=1 d=1 t=290556
fa bu hui 	發佈會	c=4 d=2.87017 t=210702
fa bu liao 	發不了	c=2 d=1 t=51228
fa che 	發車	c=1 d=1 t=291921
fa chu 	發怵	c=1 d=1 t=227968
fa cuo 	發錯	c=6 d=1 t=289199
fa cuo le 	發錯了	c=1 d=1 t=226207
fa de 	發的	c=1 d=1 t=188191
fa ding 	法定	c=11 d=1 t=263122
fa duan xin 	發短信	c=1 d=1 t=176339
fa fang 	發放	c=10 d=1 t=276194
fa fang ri 	發放日	c=1 d=1 t=221509
fa ge 	發個	c=3 d=1 t=272350
fa ge ban 	發個版	c=1 d=1 t=195373
fa gei 	發給	c=6 d=1 t=234340
fa gei ni 	發給你	c=1 d=1 t=191009
fa gei ta 	發給他	c=1 d=1 t=231706
fa gei wo 	發給我	c=3 d=1 t=264152
fa gei xian 	發給先	c=1 d=1 t=24522
fa gong zi 	發工資	c=3 d=0.1 t=293248
fa guang 	發光	c=1 d=1 t=57333
fa guo 	法國	c=1 d=1 t=87568
fa guo 	發過	c=5 d=1 t=162015
fa guo cai 	法國菜	c=1 d=1 t=170418
fa guo lai 	發過來	c=1 d=1 t=265445
fa guo qu 	發過去	c=1 d=1 t=55389
fa hua 	發話	c=1 d=1 t=30467
fa huang 	發黃	c=3 d=1 t=215902
fa hui 	發揮	c=2 d=1 t=187507
fa huo 	發貨	c=17 d=1 t=235452
fa jiao 	發酵	c=1 d=1 t=90657
fa kai 	發開	c=1 d=1 t=249671
fa kuan 	罰款	c=3 d=1 t=253688
fa la li 	法拉利	c=1 d=1 t=44655
fa lai 	發來	c=3 d=1 t=59282
fa lao 	法老	c=1 d=1 t=228772
fa le 	發了	c=7 d=1 t=227734
fa le fa le 	發了發了	c=1 d=1 t=120639
fa lv 	法律	c=4 d=1 t=220415
fa lv shang 	法律上	c=1 d=1 t=220428
fa lv ze ren 	法律責任	c=1 d=1 t=289644
fa men 	閥門	c=1 d=1 t=23565
fa ming 	發明	c=3 d=1.00131 t=298458
fa ni 	發你	c=3 d=1 t=166522
fa nin 	發您	c=5 d=1 t=260811
fa pao jiao 	發泡膠	c=1 d=1 t=192183
fa qi 	發起	c=17 d=1.04224 t=279263
fa qi ren 	發起人	c=8 d=1.00139 t=283611
fa re 	發熱	c=2 d=1 t=275700
fa sa 	發撒	c=1 d=1 t=279851
fa san 	發散	c=1 d=1 t=279852
fa shang 	發上	c=2 d=1 t=85024
fa shao 	發燒	c=1 d=1 t=188896
fa sheng 	發生	c=52 d=1 t=290779
fa song 	發送	c=77 d=2.08023 t=293660
fa song duan 	發送端	c=3 d=2.39959 t=248954
fa song fa 	發送發	c=1 d=1 t=293651
fa song gei 	發送給	c=1 d=1 t=248930
fa suan 	發酸	c=1 d=1 t=193679
fa suan xin 	發酸新	c=1 d=1 t=176338
fa wai 	法外	c=1 d=1 t=129374
fa wan 	發完	c=2 d=1 t=237563
fa wo 	發我	c=18 d=1 t=233750
fa wo yi xia 	發我一下	c=1 d=1 t=200819
fa wu 	法務	c=3 d=1.00001 t=237797
fa xian 	發現	c=28 d=1 t=279495
fa xiao xi 	發消息	c=1 d=1 t=128907
fa xie 	發些	c=1 d=0.000209665 t=299031
fa xin 	發信	c=3 d=1 t=203222
fa yi 	法醫	c=1 d=1 t=58528
fa yi fen 	發一份	c=1 d=1 t=11173
fa yi ge 	發一個	c=1 d=1 t=185305
fa yi xia 	發一下	c=8 d=1 t=286892
fa you 	發有	c=1 d=1 t=72491
fa you jian 	發郵件	c=12 d=1 t=224421
fa you jian ni 	發郵件你	c=1 d=1 t=159271
fa zhan 	發展	c=11 d=1 t=265773
fa zhao pian 	發照片	c=1 d=1 t=156023
fa zheng 	發證	c=1 d=1 t=283991
fan 	凡	c=1 d=1 t=100227
fan 	反	c=7 d=2.2848 t=210817
fan 	煩	c=4 d=1 t=298508
fan 	繁	c=0 d=0.1 t=251435
fan 	翻	c=4 d=1.83946 t=275681
fan 	范	c=1 d=1 t=172539
fan 	飯	c=32 d=0.186374 t=299031
fan ai 	泛愛	c=0 d=0.1 t=165841
fan ai kan 	泛愛看	c=1 d=1 t=165842
fan ao 	飯奧	c=1 d=1 t=56415
fan bei 	翻倍	c=1 d=1 t=251475
fan bian 	翻遍	c=1 d=1 t=25001
fan bu liao 	翻不了	c=1 d=1 t=267002
fan bu zhao 	犯不着	c=1 d=1 t=238153
fan chang 	翻唱	c=18 d=1 t=250206
fan che 	翻車	c=2 d=1 t=147621
fan cheng zhi xia 	繁城之下	c=10 d=3.3399 t=252785
fan chou 	範疇	c=2 d=1 t=185917
fan cuo 	犯錯	c=3 d=2.98506 t=242551
fan de 	反的	c=2 d=1 t=282535
fan de 	返的	c=1 d=1 t=181447
fan dian 	飯店	c=1 d=1 t=111924
fan e 	犯惡	c=0 d=0.1 t=188962
fan e xin 	犯惡心	c=1 d=1 t=188963
fan er 	反而	c=3 d=1 t=221151
fan fa 	反法	c=2 d=1 t=117133
fan fan 	翻翻	c=1 d=1 t=16849
fan fan 	飯飯	c=16 d=1.00144 t=279529
fan fu 	反覆	c=4 d=1.65377 t=251809
fan gao 	梵高	c=2 d=1.0005 t=135869
fan gei 	飯給	c=1 d=1 t=48535
fan hou 	飯後	c=1 d=1 t=37700
fan hu 	泛湖	c=1 d=1 t=2990
fan hua 	反華	c=1 d=1 t=170253
fan hua 	泛化	c=1 d=1 t=65674
fan huang 	泛黃	c=4 d=1 t=152838
fan hui 	反悔	c=1 d=1 t=223256
fan hui 	返回	c=402 d=0.184326 t=299031
fan hui de 	返回的	c=1 d=1 t=164228
fan hui zhi 	返回值	c=23 d=1 t=295410
fan ji 	反擊	c=2 d=1 t=278220
fan jin 	反津	c=1 d=1 t=84652
fan kai 	翻開	c=1 d=0.280866 t=59580
fan kang 	反抗	c=4 d=1 t=173706
fan ke li hua 	反柯里化	c=1 d=1 t=65695
fan kui 	反饋	c=13 d=1 t=264211
fan le 	反了	c=2 d=1 t=255605
fan le 	翻了	c=1 d=0.1 t=210038
fan le fan 	翻了翻	c=1 d=1 t=210039
fan li jie 	范立傑	c=1 d=1 t=181191
fan liu 	反流	c=1 d=1 t=243908
fan long 	樊籠	c=0 d=0.1 t=143511
fan long kai 	樊籠開	c=1 d=1 t=143512
fan mang 	煩忙	c=1 d=1 t=264016
fan qiang 	翻牆	c=10 d=1 t=246676
fan qie 	番茄	c=0 d=0.1 t=138928
fan ran 	幡然	c=1 d=1 t=17483
fan ren 	煩人	c=2 d=1 t=145640
fan ruan 	凡軟	c=33 d=2.83705 t=274066
fan shi 	範式	c=6 d=1 t=251154
fan shuo 	凡碩	c=1 d=1 t=263160
fan si 	煩死	c=2 d=1 t=94411
fan suo 	繁瑣	c=3 d=1 t=137996
fan te xi 	范特西	c=1 d=1 t=112987
fan ti 	繁體	c=4 d=1 t=171639
fan tuan 	飯糰	c=1 d=1 t=43495
fan tui 	反推	c=1 d=1 t=295913
fan wei 	範圍	c=41 d=1 t=298822
fan wei 	范偉	c=1 d=1 t=224584
fan wen 	反問	c=1 d=1 t=79580
fan wo 	反我	c=1 d=1 t=21884
fan xian 	范縣	c=1 d=1 t=218440
fan xiang 	反向	c=0 d=0.1 t=249987
fan xiang 	反相	c=1 d=1 t=293020
fan xiang 	反響	c=1 d=1 t=249987
fan xiang dai li 	反向代理	c=3 d=2.81467 t=250012
fan xiang dai li 	反響代理	c=1 d=1 t=113863
fan xiao 	返校	c=0 d=0.1 t=139081
fan xiao ji 	返校季	c=8 d=2.01624 t=145674
fan xing 	反省	c=2 d=1.92312 t=90325
fan xing 	泛型	c=45 d=1 t=285629
fan ye 	翻頁	c=2 d=1.85642 t=196752
fan yi 	翻譯	c=15 d=1 t=246951
fan yi ci 	反義詞	c=2 d=1 t=283132
fan yi ge 	反一個	c=1 d=1 t=182320
fan yi guo 	翻譯過	c=1 d=1 t=242855
fan yin hao 	反引號	c=4 d=1 t=76580
fan ying 	反應	c=10 d=1 t=221894
fan ying guo lai 	反應過來	c=1 d=1 t=182629
fan zhang 	反掌	c=5 d=1 t=67863
fan zheng 	反正	c=32 d=1 t=296854
fan zheng 	反證	c=1 d=1 t=2630
fan zhi 	反之	c=8 d=1 t=298891
fan zhi 	繁殖	c=4 d=2.76072 t=298920
fan zhi yi ran 	反之亦然	c=1 d=1 t=62492
fan zhuan 	反轉	c=6 d=1 t=258326
fan zhuan 	翻轉	c=1 d=1 t=16022
fan zhuang 	反裝	c=1 d=1 t=211299
fan zi 	販子	c=2 d=0.000185029 t=299031
fan zui 	犯罪	c=2 d=1 t=180193
fang 	仿	c=4 d=1 t=274856
fang 	坊	c=0 d=0.1 t=286705
fang 	房	c=17 d=1.00006 t=290980
fang 	放	c=149 d=0.47752 t=299031
fang 	方	c=14 d=1 t=298173
fang 	芳	c=2 d=1 t=288803
fang 	訪	c=1 d=1 t=64167
fang 	防	c=1 d=1 t=173466
fang an 	方案	c=39 d=1.05631 t=277438
fang an yi 	方案一	c=1 d=1 t=239356
fang bao 	放包	c=1 d=0.1 t=190349
fang bao li le 	放包裏了	c=1 d=1 t=190350
fang bian 	方便	c=83 d=1.00028 t=296008
fang bian mian 	方便麪	c=3 d=1.98511 t=178169
fang bu fang bian 	方不方便	c=1 d=1 t=218559
fang bu liao 	放不了	c=2 d=1.97531 t=11446
fang bu zhu 	放不住	c=1 d=1 t=181685
fang cang 	方艙	c=1 d=1 t=180489
fang chan 	房產	c=1 d=1 t=241985
fang chan zheng 	房產證	c=5 d=2.12823 t=288894
fang cuo 	放錯	c=1 d=1 t=88191
fang da 	放大	c=12 d=0.00359725 t=299031
fang da 	方大	c=0 d=0.1 t=141434
fang da suo xiao 	放大縮小	c=1 d=0.0361528 t=299031
fang da tong 	方大同	c=1 d=1 t=141435
fang dai 	房貸	c=5 d=1 t=297775
fang dao 	放到	c=32 d=1 t=298771
fang dao men 	防盜門	c=1 d=1 t=212070
fang de 	放的	c=0 d=0.1 t=206688
fang de 	方的	c=1 d=1 t=206688
fang de zhu 	放的住	c=3 d=1.11766 t=209558
fang di chan 	房地產	c=2 d=1 t=289669
fang ding 	房頂	c=11 d=1.04328 t=280021
fang dong 	房東	c=21 d=1 t=284563
fang fa 	方法	c=260 d=1.00316 t=297078
fang fa 	訪法	c=2 d=1.99501 t=9781
fang fan 	防範	c=1 d=1 t=288005
fang fang 	放放	c=5 d=1 t=105207
fang fang 	方方	c=0 d=0.1 t=98481
fang fang 	芳芳	c=1 d=1 t=5073
fang fang mian 	方方面	c=1 d=1 t=98482
fang fei 	放飛	c=1 d=1 t=104818
fang ge 	放個	c=1 d=1 t=25044
fang guan ju 	房管局	c=1 d=1 t=112708
fang guo 	放過	c=1 d=1 t=96159
fang hao 	房號	c=1 d=1 t=153369
fang hu 	防護	c=1 d=1 t=185340
fang hui 	放回	c=4 d=1 t=281291
fang jia 	房價	c=2 d=1 t=254524
fang jia 	放假	c=12 d=1 t=289108
fang jia gao 	房價高	c=1 d=1 t=114989
fang jia li 	放假裏	c=1 d=1 t=137697
fang jian 	房間	c=1 d=2.18221e-05 t=299031
fang jie 	芳姐	c=2 d=1 t=262529
fang jin 	放進	c=1 d=1 t=170345
fang jin qu 	放進去	c=2 d=1 t=221871
fang kong 	防控	c=1 d=1 t=156426
fang kuai 	方塊	c=1 d=1 t=98597
fang kuan 	放寬	c=1 d=1 t=181904
fang kuang 	方框	c=1 d=1 t=291047
fang kuo hao 	方括號	c=4 d=1.92774 t=291407
fang le 	放了	c=13 d=1 t=255717
fang li 	房裏	c=1 d=1 t=287662
fang mian 	方面	c=11 d=1 t=260576
fang ming 	芳銘	c=1 d=1 t=294935
fang na 	放拿	c=1 d=1 t=288628
fang na le 	放哪了	c=1 d=1 t=237038
fang nu 	房奴	c=2 d=1 t=297885
fang pi 	放屁	c=2 d=1.18731 t=186713
fang qi 	房企	c=3 d=1 t=144587
fang qi 	放棄	c=9 d=1.0754 t=241311
fang ren 	放任	c=1 d=1 t=173509
fang ru 	放入	c=3 d=1 t=259813
fang shan 	房山	c=1 d=1 t=9080
fang shang 	放上	c=1 d=1 t=226662
fang shi 	方式	c=131 d=1.00138 t=298658
fang shui 	防水	c=44 d=1.00006 t=224429
fang song 	放鬆	c=1 d=1 t=248285
fang tang 	方糖	c=1 d=1 t=98292
fang wei 	防僞	c=1 d=1 t=280311
fang wen 	訪問	c=149 d=2.77949 t=291604
fang wen bu liao 	訪問不了	c=1 d=1 t=131428
fang wen ji 	訪問記	c=1 d=1 t=235033
fang wen ma 	訪問嗎	c=1 d=1 t=116741
fang wen qi 	訪問器	c=4 d=1 t=280630
fang wen ti 	放問題	c=1 d=1 t=260042
fang wen zhe 	訪問者	c=1 d=1 t=221026
fang wu 	房屋	c=16 d=1 t=213349
fang xia 	放下	c=1 d=1 t=155522
fang xiang 	方向	c=18 d=0.0352602 t=299031
fang xin 	放心	c=8 d=1.00049 t=267402
fang xing 	放行	c=2 d=1 t=267933
fang xiu qi 	防鏽漆	c=1 d=1 t=197801
fang yang 	放羊	c=0 d=0.1 t=216872
fang yang de xing xing 	放羊的星星	c=1 d=1 t=216873
fang yi 	方毅	c=1 d=1 t=115576
fang yi 	防疫	c=1 d=1 t=185748
fang you jian 	放郵件	c=1 d=1 t=190306
fang zai 	放在	c=7 d=1 t=283426
fang zai le 	放在了	c=1 d=1 t=211258
fang zhen 	方針	c=1 d=1 t=161351
fang zheng 	方正	c=1 d=1 t=239478
fang zhi 	放置	c=12 d=1.02317 t=286464
fang zhi 	防止	c=29 d=0.852144 t=299031
fang zhu 	房主	c=3 d=1.20883 t=7985
fang zi 	房子	c=67 d=0.106433 t=299031
fang zu 	房租	c=7 d=0.1 t=277533
fei 	肥	c=1 d=0.1 t=265158
fei 	費	c=25 d=0.1 t=298196
fei 	非	c=41 d=0.100007 t=289336
fei 	飛	c=3 d=1 t=292888
fei chang 	非常	c=20 d=1 t=295742
fei chang kuai 	非常快	c=1 d=1 t=243219
fei chang man 	非常慢	c=2 d=1.99005 t=146238
fei che 	飛車	c=0 d=0.1 t=221208
fei chong 	飛蟲	c=0 d=0.1 t=147164
fei chong shou 	飛蟲獸	c=3 d=2.96546 t=147171
fei chuan 	飛船	c=0 d=0.1 t=118191
fei chuan bu ke 	非穿不可	c=0 d=0.1 t=270074
fei chuan bu ke ma 	非穿不可嗎	c=1 d=1 t=270075
fei de 	非得	c=1 d=1 t=209952
fei dian 	費點	c=0 d=0.1 t=185082
fei dian shi 	費點事	c=1 d=1 t=185083
fei dui chen 	非对称	c=1 d=1 t=295988
fei dui cheng 	非對稱	c=1 d=0.1 t=296021
fei dui cheng jia mi 	非對稱加密	c=1 d=1 t=296022
fei fa 	非法	c=2 d=1.85642 t=249095
fei fu 	肺腑	c=1 d=1 t=196841
fei hua 	廢話	c=1 d=1 t=39141
fei ji 	飛機	c=3 d=1 t=271249
fei jin 	費勁	c=21 d=1.31664 t=290907
fei jin er 	費勁兒	c=1 d=1 t=276679
fei kong 	非空	c=2 d=1.15412 t=291557
fei le 	廢了	c=1 d=1 t=266175
fei li pu 	飛利浦	c=2 d=1.96079 t=237703
fei long 	飛龍	c=1 d=1 t=167828
fei lun hai 	飛輪海	c=2 d=1 t=216858
fei niao 	飛鳥	c=1 d=1 t=284604
fei qi 	廢棄	c=2 d=3.37144e-05 t=299031
fei qi ye ge li 	非企業隔離	c=3 d=1.87651 t=199029
fei shang lai 	飛上來	c=1 d=1 t=290845
fei shi 	費時	c=3 d=1 t=202070
fei shi jian 	費時間	c=1 d=1 t=5139
fei shu 	飛書	c=16 d=1.92312 t=294448
fei si ge jin 	費死個勁	c=1 d=1 t=142340
fei tong zhi hua 	非同質化	c=1 d=1 t=289337
fei wen ding 	非穩定	c=1 d=1 t=281769
fei wu 	廢物	c=2 d=1 t=196842
fei ye 	飛葉	c=1 d=1 t=253038
fei yong 	費用	c=15 d=4.29425 t=287395
fei zao 	肥皂	c=1 d=1 t=156133
fei zhu 	飛豬	c=11 d=2.62076 t=273412
fen 	份	c=18 d=2.10808 t=297737
fen 	分	c=47 d=0.00472766 t=299031
fen 	粉	c=2 d=0.1 t=263369
fen 	糞	c=1 d=1 t=173769
fen an 	分案	c=1 d=1 t=139196
fen bao 	分包	c=8 d=3.29645 t=258131
fen bian 	分辯	c=2 d=1 t=127237
fen bian lv 	分辨率	c=13 d=1.84039 t=299031
fen bie 	分別	c=25 d=1 t=281180
fen bu chu 	分不出	c=1 d=1 t=132398
fen bu shi 	分佈式	c=2 d=1 t=289296
fen ceng 	分層	c=1 d=1 t=262066
fen cha 	分叉	c=2 d=1.96079 t=297725
fen cheng 	分成	c=1 d=1 t=14924
fen ci 	分詞	c=11 d=1 t=290119
fen cun 	分寸	c=1 d=1 t=90408
fen e 	份額	c=1 d=1 t=298324
fen fa 	分發	c=6 d=1.86071 t=296036
fen fen 	紛紛	c=0 d=0.1 t=28806
fen fen fen fong 	紛紛分甮	c=1 d=1 t=28807
fen ge 	分割	c=10 d=1.88692 t=253327
fen ge 	分隔	c=7 d=1 t=259220
fen ge biao ji 	分割標記	c=1 d=1 t=2881
fen ge fu 	分隔符	c=3 d=1.81465 t=295428
fen ge xian 	分割線	c=2 d=1 t=227213
fen gui 	分軌	c=1 d=1 t=99317
fen hao 	分號	c=8 d=4.58441 t=182477
fen hu 	分戶	c=0 d=0.1 t=288784
